source,distance_bin,channel,q25,median,q75,session_count,encounter_count,supported
mint,2,S17,-0.0011583964029947917,-0.0007470130920410159,0.003692507743835443,4,12,True
mint,2,S18,-0.00045331716537475584,-0.0004301285743713379,0.0018003582954406708,4,12,True
mint,2,S19,-0.000657033920288086,-0.0002505481243133543,0.00012722015380859386,4,12,True
mint,2,S2,-0.0022564274924142015,-1.4543533325194933e-05,0.020169496536254883,4,12,True
mint,2,S20,-0.0006227588653564453,-0.0002987623214721681,0.0016076735087803412,4,12,True
mint,2,S21,-0.00027872562408447264,-0.00011234680811564128,0.0006254911422729486,4,12,True
mint,2,S22,-0.0001858377456665039,2.8673807779947916e-05,0.0006490409374237052,4,12,True
mint,2,S23,-0.0009923875331878658,-0.00012016296386718745,0.0012662675645616318,4,12,True
mint,2,S24,-0.00022824605305989582,0.00016813278198242189,0.0019145250320434576,4,12,True
mint,2,S25,-0.0003152799606323242,0.00015148321787516276,0.0010993991579328253,4,12,True
mint,2,S26,-0.0012228918075561524,0.0009494755003187392,0.0058624386787414565,4,12,True
mint,2,S27,-0.0007129311561584473,0.0002570152282714844,0.000522613525390625,4,12,True
mint,2,S28,-0.0014765119552612306,-0.0005061388015747072,0.004023313522338864,4,12,True
mint,2,S29,-0.001432056427001953,-0.00017611980438232434,0.0035833290645054367,4,12,True
mint,2,S3,-0.0022224017551967074,-0.00017309188842773438,0.0004289436340332031,4,12,True
mint,2,S30,-0.0001282191276550293,-4.4345855712890815e-06,0.000335940292903355,4,12,True
mint,2,S31,-0.0009553432464599609,-0.00013828277587890625,0.00016936302185058591,4,12,True
mint,2,S32,-0.0002932548522949219,0.00011859536170959472,0.0009650409221649165,4,12,True
mint,2,S4,-0.00224615732828776,-0.00021278858184814496,0.006508576869964591,4,12,True
mint,2,S5,-0.0006628831227620443,-0.0003737640380859376,0.0007320642471313474,4,12,True
mint,2,S6,-1.6726056734720866e-05,-3.484487533569335e-06,2.819299697875977e-06,4,12,True
mint,2,S7,-0.0007327795028686523,7.4505805969238485e-06,0.0022737979888916016,4,12,True
mint,2,S8,-0.0007093143463134765,-0.0005225578943888347,0.0009387731552124023,4,12,True
mint,2,S9,-0.0003970781962076823,-0.00013422966003417974,0.0024079084396362283,4,12,True
mint,3,S1,-0.015465180079142254,-0.0018168687820434596,0.00939321517944336,3,5,True
mint,3,S10,-0.00022614002227783206,-9.965896606445312e-05,8.83340835571289e-05,3,5,True
mint,3,S11,-0.00040674209594726573,0.00025518735249837227,0.0012648900349934893,3,5,True
mint,3,S12,-0.0018080671628316245,-0.00048169493675231966,0.0006758570671081543,3,5,True
mint,3,S13,-0.0016534328460693362,-0.00026553869247436556,0.0006358623504638672,3,5,True
mint,3,S14,-0.0013219118118286135,-0.00015518069267272976,0.0004467964172363281,3,5,True
mint,3,S15,6.628036499023427e-05,0.0009454886118570957,0.002413193384806315,3,5,True
mint,3,S16,-0.0005094210306803386,-0.00013518333435058602,0.00019443035125732422,3,5,True
mint,3,S17,-0.005690495173136394,-0.0016885399818420417,0.0021991729736328125,3,5,True
mint,3,S18,-0.0023422439893086753,-0.0006692111492156985,0.0010879039764404297,3,5,True
mint,3,S19,6.484985351562413e-05,0.0005435943603515623,0.002445697784423828,3,5,True
mint,3,S2,-0.016057729721069336,-0.0019752979278564488,0.007227897644042969,3,5,True
mint,3,S20,-0.002393086751302084,7.551908493041949e-05,0.000970005989074707,3,5,True
mint,3,S21,-0.000896890958150228,-4.0203332901001085e-05,0.00041168928146362305,3,5,True
mint,3,S22,-0.0006466905275980633,0.0001744329929351806,0.0006470680236816406,3,5,True
mint,3,S23,-0.0016126632690429692,-5.054473876953212e-05,0.0005538463592529297,3,5,True
