session,cell_id,paper_x_cm,paper_y_cm,channel,visit_count,temporal_span_s,visit_scaled_mad_kohm,normalized_dispersion
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S24,3,184.90400000000002,0.0031749518394470215,1.3422999327505043
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S25,3,184.90400000000002,0.0034146108627319334,1.842456608811749
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S26,3,184.90400000000002,0.011273694777488708,1.5091085454717517
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S27,3,184.90400000000002,0.000528451681137085,0.8542857142857144
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S28,3,184.90400000000002,0.006451705741882324,1.1073562869710298
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S29,3,184.90400000000002,0.007745793771743774,1.5204690535664724
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S30,3,184.90400000000002,0.0009546594500541687,1.3059719535783365
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S31,3,184.90400000000002,0.00022481288909912108,0.2934933087217351
caret-mint-left-lavender-right-run01,1169,-11.4398832321167,-1.8566551208496094,S32,3,184.90400000000002,0.0016916639685630797,1.327255078693753
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S1,3,158.169,0.021038032579421995,0.9480777042364579
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S2,3,158.169,0.017413101482391356,0.8592858762580893
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S3,3,158.169,0.000346409797668457,0.6980056980056979
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S4,3,158.169,0.006426255226135253,0.6624157405720532
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S5,3,158.169,3.658511638641357e-05,0.016281264747522416
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S6,3,158.169,2.4345892667770386e-05,0.45878434637801835
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S7,3,158.169,0.00021597590446472166,0.30054107230693555
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S8,3,158.169,6.450998783111572e-05,0.024564237162662362
caret-mint-left-lavender-right-run01,1132,-3.4861838817596436,-2.626598596572876,S9,3,158.169,0.001793731141090393,0.5467916599321158
